Id,Company,Product,TypeName,Price_euros
41,Asus,X540UA-DM186 (i3-6006U/4GB/1TB/FHD/Linux),Notebook,389
42,Dell,Inspiron 7577,Gaming,1499
43,Asus,X542UQ-GO005 (i5-7200U/8GB/1TB/GeForce,Notebook,522.99
44,Acer,Aspire A515-51G,Notebook,682
45,Dell,Inspiron 7773,2 in 1 Convertible,999
46,Apple,MacBook Pro,Ultrabook,1419
47,Lenovo,IdeaPad 320-15ISK,Notebook,369
48,Asus,Rog Strix,Gaming,1299
49,Dell,Inspiron 3567,Notebook,639
50,Asus,X751NV-TY001T (N4200/4GB/1TB/GeForce,Notebook,466
51,Lenovo,Yoga Book,2 in 1 Convertible,319
52,Acer,Aspire A515-51G,Notebook,841
53,HP,255 G6,Notebook,398.49
54,HP,ProBook 430,Notebook,1103
55,Acer,Aspire 3,Notebook,384
56,Dell,Inspiron 3576,Notebook,767.8
57,HP,15-bs002nv (i3-6006U/4GB/128GB/FHD/W10),Notebook,439
58,Asus,VivoBook Max,Notebook,586.19
59,MSI,GS73VR 7RG,Gaming,2449
